Timestamp,What is your program?,What is your gender?,What is your AGE as of your last birthday?,What is your HEIGHT (to the nearest centimetre)?,What is your WEIGHT (to the nearest kilogram)?,What was your AVERAGE MONTHLY SALARY (to the nearest $100) at your last full time employment prior to enrolling at BCIT?,What MONTHLY SALARY (to the nearest $100) would you EXPECT if you were to seek employment immediately after obtaining your diploma?,"After graduation, for which one of the following TYPES OF ORGANIZATION would you most prefer to work?",Do you LIVE WITH YOUR PARENTS? ,What are your MONTHLY EXPENSES for FOOD and LODGING?,What MODE of TRANSPORT do you use most often to get to and from BCIT?,What is your COST per MONTH for TRANSPORTATION to and from BCIT?,What is your COST per MONTH for ENTERTAINMENT?,"Are you right-handed, Left-handed or ambidextrous?",What is your COST per MONTH for your CELL PHONE?,Do you SMOKE cigarettes? ,What is your foot size in INCHES?,How many alcoholic drinks do you have per week?,Do you have a tattoo?,"On average, how many hours per night do you sleep?",How much time in hours do you spend each week on social netorking sites?,How many hours per week do you spend studying/doing homework?,How many hours a week are you working (part-time or full-time employment) outside of BCIT?,Have you traveled outside of North America?,Do you pay entirely for your own tuition?,How many cups of coffee do you drink on average each day?,BMI
2019/02/08 8:23:35 am GMT-8,BMGT,Male,30,178.0,75.0,3500.0,4500.0,1. Large Corporation,No,2000.0,3. Drive,250.0,80.0,0. Right-handed,77.0,No,10,3,No,7,1,15,0,Yes,Yes,2.0,23.671253629592222
2019/02/08 8:25:02 am GMT-8,BMGT,Gender Apathetic,23,195.0,110.0,5200.0,6000.0,4. Other,Yes,400.0,3. Drive,100.0,50.0,0. Right-handed,85.0,No,12.2,0,Yes,5,2,20,8,No,No,0.5,28.928336620644316
2019/02/08 8:36:24 am GMT-8,BMGT,Male,26,175.0,67.0,0.0,,4. Other,Yes,200.0,3. Drive,100.0,20.0,0. Right-handed,74.0,No,,0,No,7,1,35,0,Yes,No,1.0,21.877551020408163
2019/02/08 8:37:16 am GMT-8,BMGT,Male,23,,,3200.0,5000.0,1. Large Corporation,Yes,400.0,3. Drive,300.0,200.0,0. Right-handed,50.0,Yes,11,10,No,4,5,>25,0,Yes,No,2.0,
2019/02/08 8:38:08 am GMT-8,BMGT,Female,10,170.0,61.0,2400.0,5000.0,2. Small Company,No,0.0,5. Other,,0.0,0. Right-handed,0.0,No,4,0,No,7,10,5,0,No,No,0.0,21.107266435986162
2019/02/08 8:45:15 am GMT-8,BMGT,Female,20,165.0,54.0,2500.0,5000.0,1. Large Corporation,Yes,400.0,2. Public Transport,60.0,150.0,0. Right-handed,50.0,No,,0,No,5,35,15,16,Yes,Yes,1.0,19.834710743801654
2019/02/08 9:14:58 am GMT-8,BMGT,Male,20,180.0,75.0,3800.0,5000.0,1. Large Corporation,Yes,350.0,3. Drive,120.0,350.0,0. Right-handed,105.0,No,,0,No,5,6,28,24,Yes,No,0.5,23.148148148148145
2019/02/08 10:10:53 am GMT-8,BMGT,Female,20,154.0,,0.0,,1. Large Corporation,Yes,50.0,2. Public Transport,50.0,20.0,0. Right-handed,50.0,No,9 inches,0,No,7,15,10,0,Yes,No,1.0,
2019/02/08 10:18:10 am GMT-8,BMGT,Male,19,175.0,63.0,0.0,,1. Large Corporation,Yes,100.0,2. Public Transport,50.0,50.0,0. Right-handed,100.0,No,10,0,No,8,10,5,0,Yes,No,0.0,20.571428571428573
2019/02/08 10:30:28 am GMT-8,BMGT,Female,23,175.0,70.0,3300.0,4000.0,1. Large Corporation,Yes,1500.0,3. Drive,50.0,20.0,0. Right-handed,40.0,No,10.4,0,No,7,5,15,0,Yes,No,0.0,22.857142857142858
